2.5122        0.0	1
2.5128        0.5	1
2.5978        0.5	1
2.5983        1.0	1
2.6489        1.0	1
2.6494        1.5	1
2.6900        1.5	1
2.6906        2.0	1
2.7239        2.0	1
2.7244        2.5	1
2.7561        2.5	1
2.7567        3.0	1
2.7867        3.0	1
2.7872        3.5	1
2.8161        3.5	1
2.8167        4.0	1
2.8433        4.0	1
2.8439        4.5	1
2.8728        4.5	1
2.8733        5.0	1
2.9011        5.0	1
2.9017        5.5	1
2.9311        5.5	1
2.9317        6.0	1
2.9633        6.0	1
2.9639        6.5	1
2.9956        6.5	1
2.9961        7.0	1
3.0294        7.0	1
3.0300        7.5	1
3.0656        7.5	1
3.0661        8.0	1
3.1050        8.0	1
3.1056        8.5	1
3.1483        8.5	1
3.1489        9.0	1
3.1933        9.0	1
3.1939        9.5	1
3.2439        9.5	1
3.2444        10.0	1
3.3000        10.0	1
3.3006        10.5	1
3.3661        10.5	1
3.3667        11.0	1
3.4417        11.0	1
3.4422        11.5	1
3.5250        11.5	1
3.5256        12.0	1
3.6272        12.0	1
3.6278        12.5	1
3.7417        12.5	1
3.7422        13.0	1
3.8722        13.0	1
3.8728        13.5	1
4.0400        13.5	1
4.0406        14.0	1
4.2467        14.0	1
4.2472        14.5	1
4.5072        14.5	1
4.5078        15.0	1
4.8628        15.0	1
4.8633        15.5	1
5.3144        15.5	1
5.3150        16.0	1
6.0933        16.0	1
6.0939        16.5	1
6.9150        16.5	1
6.9156        16.0	1
6.9739        16.0	1
6.9744        15.5	1
7.0183        15.5	1
7.0189        15.0	1
7.0567        15.0	1
7.0572        14.5	1
7.0906        14.5	1
7.0911        14.0	1
7.1256        14.0	1
7.1261        13.5	1
7.1567        13.5	1
7.1572        13.0	1
7.1883        13.0	1
7.1889        12.5	1
7.2189        12.5	1
7.2194        12.0	1
7.2494        12.0	1
7.2500        11.5	1
7.2817        11.5	1
7.2822        11.0	1
7.3133        11.0	1
7.3139        10.5	1
7.3489        10.5	1
7.3494        10.0	1
7.3856        10.0	1
7.3861        9.5	1
7.4228        9.5	1
7.4233        9.0	1
7.4639        9.0	1
7.4644        8.5	1
7.5067        8.5	1
7.5072        8.0	1
7.5522        8.0	1
7.5528        7.5	1
7.6039        7.5	1
7.6044        7.0	1
7.6622        7.0	1
7.6628        6.5	1
7.7272        6.5	1
7.7278        6.0	1
7.8011        6.0	1
7.8017        5.5	1
7.8917        5.5	1
7.8922        5.0	1
8.0006        5.0	1
8.0011        4.5	1
8.1278        4.5	1
8.1283        4.0	1
8.2883        4.0	1
8.2889        3.5	1
8.5083        3.5	1
8.5089        3.0	1
8.8161        3.0	1
8.8167        2.5	1
9.2450        2.5	1
9.2456        2.0	1
9.9922        2.0	1
9.9928        1.5	1
11.2239       1.5	1
11.3200       1.5	1
11.3206       1.0	1
17.5889       1.0	1
17.5894       0.5	1
23.7267       0.5	1
23.7272       0.0	1
24.0000       0.0	1
