   8.638        0.50	1
   8.674        0.00	1
   9.131        0.50	1
   9.307        0.50	1
   9.309        1.00	1
   9.376        1.50	1
   9.426        2.00	1
   9.507        2.50	1
   9.543        3.00	1
   9.545        3.50	1
   9.579        4.00	1
   9.650        4.50	1
   9.652        5.00	1
   9.721        5.50	1
   9.723        6.00	1
   9.759        6.50	1
   9.795        7.00	1
   9.797        6.50	1
   9.834        7.00	1
   9.876        7.50	1
   9.918        8.00	1
   9.962        8.50	1
   9.965        9.00	1
   9.967        8.50	1
   10.016        9.00	1
   10.018        9.50	1
   10.128        10.00	1
   10.131        10.50	1
   10.193        11.00	1
   10.263        11.50	1
   10.344        12.00	1
   10.438        12.50	1
   10.550        13.00	1
   10.681        13.50	1
   10.846        14.00	1
   11.056        14.50	1
   11.345        15.00	1
   11.744        15.50	1
   12.320        16.00	1
   13.047        16.50	1
   14.184        17.00	1
   15.493        17.50	1
   16.002        17.00	1
   16.124        16.50	1
   16.196        16.00	1
   16.293        15.50	1
   16.338        15.00	1
   16.379        14.50	1
   16.420        14.00	1
   16.459        13.50	1
   16.498        13.00	1
   16.539        12.50	1
   16.582        12.00	1
   16.626        11.50	1
   16.628        11.00	1
   16.722        10.50	1
   16.771        10.00	1
   16.824        9.50	1
   16.827        9.00	1
   16.952        8.50	1
   16.956        8.00	1
   17.100        7.50	1
   17.102        7.00	1
   17.400        6.00	1
   17.405        5.50	1
   17.698        4.50	1
   18.122        4.00	1
   18.439        3.50	1
   18.442        3.00	1
   18.842        3.00	1
   18.856        2.50	1
   19.453        2.00	1
   20.386        2.00	1
   21.872        1.50	1
   21.955        1.25	1
   21.956        1.00	1
   24.732        1.00	1
   24.814        0.75	1
   31.376        0.00	1
